Lämpötila Helsingissä,Sähkönkulutus Suomessa,Tuulivoimatuotanto,Ydinvoimatuotanto,Vesivoimatuotanto,Sähköntuotanto Suomessa,"Sähköntuotanto, yli/alijäämä"
-6.9854,10936.0,1293.0,4362.19999,1803.2,10707.0,135.5
-6.9854,10910.0,1285.0,4364.0,1754.2,10657.0,119.09999
-6.9854,10934.0,1278.0,4364.19999,1759.2,10653.0,102.59999
-6.9854,10940.0,1272.0,4362.69999,1773.2,10655.0,102.4
-6.9854,10977.0,1278.0,4360.8,1786.8,10651.0,59.56
-6.9854,10944.0,1258.0,4363.19999,1790.2,10607.0,48.65999
-6.9854,10923.0,1246.0,4362.69999,1792.2,10584.0,48.11999
-6.9854,10968.0,1239.0,4361.5,1805.7,10611.0,31.48999
-6.9854,10955.0,1232.5,4360.19999,1806.2,10611.0,46.36999
-6.9854,10973.0,1239.0,4361.0,1827.5,10616.0,39.25999
-6.9854,10926.0,1227.5,4364.8,1830.3,10599.0,77.87999
-6.9854,10922.0,1214.0,4363.19999,1859.8,10621.0,83.34
-6.9854,10889.0,1214.0,4364.69999,1899.7,10648.0,139.69999
-6.9854,10949.0,1207.0,4364.8,1940.5,10672.0,95.82999
-6.9854,10913.0,1192.0,4364.69999,1948.2,10655.0,133.5
-6.9854,10952.0,1191.0,4360.5,1963.8,10684.0,125.2
-6.9854,10879.0,1189.0,4360.8,1949.7,10659.0,38.28999
-6.9854,10832.0,1191.0,4363.0,1989.09999,10716.0,148.69999
-6.9854,10808.0,1191.0,4363.69999,2025.59999,10773.0,199.5
-6.9854,10850.0,1191.0,4363.0,2058.19999,10825.0,212.09999
-6.9854,10914.0,1191.0,4360.3,2070.8,10838.0,159.4
-6.9854,10886.0,1191.0,4359.69999,2033.3,10815.0,162.5
-6.9854,10865.0,1197.0,4361.3,2013.8,10804.0,192.19999
-6.9854,10879.0,1200.0,4359.19999,1999.5,10817.0,173.09999
-6.9854,10896.0,1203.0,4359.5,2007.8,10824.0,173.0
-6.9854,10908.0,1195.0,4364.19999,2014.2,10828.0,157.3
-6.9854,10898.0,1193.0,4359.19999,2016.5,10811.0,142.0
-6.9854,10907.0,1185.0,4359.5,2022.3,10820.0,159.19999
-6.9854,10951.0,1175.0,4363.19999,2036.0,10843.0,156.59999
-6.9854,10981.0,1173.5,4361.3,2059.3,10870.0,137.69999
-6.9854,10975.0,1180.0,4365.5,2063.3,10869.0,148.59999
-6.9854,10921.0,1179.0,4360.3,2073.8,10868.0,185.09999
-6.9854,10937.0,1186.0,4357.3,2084.69999,10884.0,187.69999
-6.9854,10986.0,1182.0,4362.8,2065.69999,10880.0,154.3
-6.9854,10978.0,1178.0,4359.3,2073.19999,10901.0,162.3
-6.9854,11011.0,1183.0,4361.69999,2073.19999,10893.0,135.59999
-6.9854,11029.0,1187.0,4363.0,2081.5,10927.0,98.53
-6.9854,11036.0,1178.0,4363.0,2085.3,10904.0,97.59999
-6.9854,11016.0,1170.0,4363.8,2087.5,10904.0,106.59999
-6.9854,11064.0,1170.0,4362.19999,2097.8,10924.0,89.28
-6.9854,11019.0,1156.09999,4364.8,2111.19999,10908.0,109.7
-6.9854,11060.0,1153.0,4364.19999,2113.0,10926.0,98.93
-6.9854,11040.0,1150.0,4367.69999,2112.0,10930.0,101.09999
-6.9854,11036.0,1147.0,4359.8,2124.5,10944.0,115.4
-6.9854,11083.0,1140.0,4361.8,2121.69999,10953.0,86.29999
-6.9854,11046.0,1132.0,4361.3,2131.8,10964.0,123.0
-6.9854,11051.0,1127.0,4365.0,2145.0,10961.0,123.7
-6.9854,11052.0,1117.0,4364.69999,2179.69999,10986.0,130.8
-6.9854,11039.0,1103.5,4360.19999,2191.8,11005.0,162.59999
-6.9854,11094.0,1100.0,4369.5,2187.5,11031.0,134.0
-6.9854,11100.0,1091.0,4363.0,2189.0,11032.0,145.0
-6.9854,11100.0,1091.0,4363.0,2184.0,11035.0,142.4
-6.9854,11090.0,1091.0,4362.19999,2197.69999,11052.0,164.5
-6.9854,11131.0,1081.0,4364.0,2200.8,11055.0,140.5
-6.9854,11089.0,1078.0,4365.8,2177.5,11039.0,164.9
-6.9854,11131.0,1078.0,4366.69999,2192.8,11052.0,142.9
-6.9854,11161.0,1078.0,4364.3,2176.5,11051.0,176.5
-6.9854,11157.0,1071.0,4363.0,2138.8,11025.0,140.69999
-6.9854,11169.0,1059.0,4363.69999,2113.8,10976.0,91.26
-6.9854,11127.0,1051.0,4364.8,2105.3,10932.0,88.26999
-6.9854,11118.0,1044.0,4362.19999,2100.19999,10913.0,56.68
-6.9854,11184.0,1032.0,4366.69999,2103.19999,10927.0,22.19999
-6.9854,11183.0,1026.0,4369.5,2104.3,10954.0,53.04999
-6.9854,11169.0,1023.0,4369.5,2098.69999,10944.0,45.36999
-6.9854,11160.0,1019.5,4373.6,2106.69999,10933.0,50.46
-6.9854,11139.0,1016.0,4369.3,2093.5,10915.0,60.18
-6.9854,11137.0,1016.0,4369.3,2094.3,10912.0,53.06
-6.9854,11129.0,1012.5,4368.0,2104.3,10917.0,77.65
-6.9854,11141.0,1009.0,4368.5,2087.4,10924.0,55.32
-6.9854,11115.0,1017.0,4368.3,2078.5,10956.0,113.2
-6.9854,11111.0,1011.0,4368.19999,2066.8,10941.0,101.2
-6.9854,11128.0,1001.0,4369.8,2070.3,10955.0,82.59
-6.9854,11144.0,995.00999,4371.0,2074.3,10957.0,91.64
-6.9854,11121.0,992.00999,4366.5,2059.5,10951.0,97.71999
-6.9854,11146.0,979.0,4367.0,2068.3,10941.0,62.29999
-6.9854,11164.0,968.0,4367.69999,2082.19999,10936.0,48.06
-6.9854,11177.0,964.01999,4365.8,2079.19999,10916.0,108.0
-6.9854,11144.0,960.0,4364.8,2121.8,10951.0,167.0
-6.9854,11150.0,946.00999,4372.0,2142.69999,10983.0,189.4
-6.9854,11154.0,940.0,4369.5,2156.69999,10973.0,166.59999
-6.9854,11169.0,933.50999,4370.3,2165.69999,10966.0,146.9
-6.9854,11173.0,929.0,4367.19999,2162.3,10951.0,125.7
-6.9854,11175.0,921.0,4366.3,2165.8,10964.0,138.8
-6.9854,11196.0,893.01999,4368.0,2170.19999,10958.0,99.15999
-6.9854,11221.0,877.0,4365.69999,2186.19999,10928.0,69.81999
-6.9854,11148.0,856.00999,4367.0,2182.69999,10901.0,91.76
-6.9854,11182.0,844.0,4366.19999,2197.19999,10894.0,53.03999
-6.9854,11183.0,822.03999,4362.3,2189.8,10865.0,30.27
-6.9854,11169.0,818.00999,4363.0,2192.69999,10851.0,21.98999
-6.9854,11190.0,811.0,4370.8,2200.3,10857.0,26.34
-6.9854,11221.0,808.0,4363.8,2207.8,10868.0,-2.88399
-6.9854,11213.0,800.0,4362.3,2207.3,10861.0,-6.29199
-6.9854,11179.0,789.50999,4365.69999,2210.8,10853.0,28.3
-7.52059,11197.0,792.0,4362.3,2210.19999,10858.0,16.92
-7.52059,11180.0,789.00999,4364.69999,2205.3,10848.0,23.57
-7.52059,11213.0,778.0,4364.5,2187.19999,10821.0,-56.15999
-7.52059,11199.0,776.0,4364.69999,2180.3,10798.0,115.7
-7.52059,11197.0,772.52999,4364.5,2158.69999,10773.0,79.09999
-7.52059,11202.0,763.0,4364.8,2172.09999,10775.0,72.78
-7.52059,11179.0,759.50999,4363.3,2168.4,10759.0,64.0
-7.52059,11223.0,750.0,4363.0,2134.0,10733.0,3.59799
-7.52059,11193.0,749.0,4363.8,2125.3,10711.0,-1.689
-7.52059,11238.0,743.0,4364.3,2101.3,10683.0,-43.95
-8.15779,11226.0,722.01999,4365.0,2090.0,10662.0,-66.53
-8.178,11194.0,716.0,4361.3,2079.3,10638.0,-56.22999
-8.178,11218.0,710.0,4361.0,2089.5,10642.0,-55.64999
-8.178,11194.0,706.50999,4363.0,2076.9,10616.0,-82.9
-8.178,11225.0,697.00999,4365.0,2081.69999,10619.0,-75.84999
-8.178,11200.0,699.0,4362.69999,2079.3,10616.0,-65.5
-8.178,11177.0,699.0,4363.8,2075.0,10620.0,-66.57999
-8.178,11188.0,707.0,4363.5,2087.5,10649.0,-26.18
-8.7591,11197.0,701.00999,4363.0,2089.19999,10639.0,-51.22999
-8.7591,11155.0,694.0,4361.19999,2088.3,10617.0,-43.39999
-8.7591,11201.0,700.0,4363.3,2090.69999,10630.0,-51.21
-8.7591,11219.0,700.0,4361.8,2075.19999,10639.0,-63.68
-8.7591,11184.0,709.98,4364.0,2053.5,10651.0,-32.36999
-8.7591,11207.0,716.0,4363.19999,2012.0,10600.0,48.38
-8.7591,11212.0,723.0,4362.0,2012.2,10572.0,28.12
-8.7591,11194.0,730.0,4358.3,1948.2,10506.0,-7.33
-8.7591,11181.0,730.0,4360.19999,1933.5,10511.0,11.9
-8.7591,11180.0,736.0,4362.19999,1927.2,10514.0,-7.884
-8.7591,11183.0,739.49,4363.69999,1948.0,10545.0,33.07
-8.7591,11207.0,743.0,4362.19999,1950.2,10555.0,26.34
-8.7591,11180.0,757.98,4366.19999,1946.3,10562.0,68.56999
-8.7591,11176.0,765.95,4361.3,1961.8,10573.0,69.31
-8.7591,11190.0,777.99,4363.3,1966.3,10592.0,76.03
-8.7591,11231.0,784.0,4362.0,1968.2,10624.0,48.57
-8.7591,11242.0,784.0,4360.8,1960.2,10623.0,42.93999
-8.7591,11239.0,781.48,4361.0,1955.5,10610.0,39.28
-8.7591,11248.0,783.49,4362.0,1953.7,10590.0,8.21
-9.1224,11262.0,788.0,4361.3,1965.8,10599.0,8.143
-9.284,11277.0,789.0,4363.69999,1962.7,10590.0,1.179
-9.284,11262.0,791.99,4364.3,1952.2,10604.0,30.77
-9.284,11264.0,795.0,4363.0,1952.2,10600.0,14.46
-9.284,11288.0,809.0,4363.3,1956.2,10596.0,-16.32999
-9.284,11305.0,809.0,4362.3,1959.8,10592.0,-44.59
-9.284,11339.0,809.0,4364.8,1967.09999,10616.0,170.19999
-9.284,11361.0,818.0,4364.8,1963.3,10619.0,128.59999
