Viim.,Avoin,Korkea,Matala,Vol.
7823.66,7986.84,7992.62,7664.27,78190000
8262.6,7823.66,8297.28,7823.66,108360000
8403.39,8262.6,8570.81,8262.6,117140000
8602.03,8403.39,8660.74,8401.52,112190000
8699.19,8602.03,8728.26,8473.27,98260000
8590.03,8699.19,8877.61,8548.46,102030000
8286.87,8579.51,8616.8,8260.73,154710000
8271.2,8286.87,8358.34,8157.23,111970000
8532.1,8254.89,8584.7,8254.66,93130000
8551.33,8534.4,8621.02,8423.92,75240000
8689.03,8551.33,8811.57,8551.28,68240000
8320.91,8689.03,8793.87,8253.81,124280000
8155.48,8320.91,8422.63,8114.3,83830000
8021.15,8155.48,8155.48,7932.73,91820000
8234.13,8021.15,8270.68,8021.15,88880000
8111.55,8234.13,8234.13,8052.96,67770000
8332.19,8111.55,8381.53,8092.11,190850000
8688.5,8332.19,8710.18,8332.19,111200000
8737.29,8688.5,8792.02,8622.96,83920000
8491.1,8737.29,8737.36,8401.95,46690000
8763.47,8491.1,8789.34,8286.48,102620000
8667.13,8763.47,8891.06,8598.12,74570000
8350.04,8667.13,8684.37,8319.51,82240000
8296.29,8350.04,8415.99,8223.2,75590000
8574.93,8296.29,8588.11,8296.26,51850000
8624.35,8557.93,8712.22,8546.16,75110000
8436.92,8624.35,8625.98,8382.75,76690000
8283.63,8436.92,8558.87,8246.79,73470000
8490.1,8283.63,8508.32,8141.2,90640000
8641.2,8490.1,8694.29,8490.04,43260000
8805.01,8641.2,8817.96,8640.43,45570000
8615.28,8805.01,8805.43,8523.29,39850000
9006.24,8781.65,9016.72,8614.29,71620000
9036.08,9006.24,9224.39,8955.65,102920000
8995.64,9036.08,9173.15,8937.15,82410000
8616.38,8995.64,8995.64,8599.25,110620000
8522.19,8616.38,8702.35,8488.8,97350000
8365.21,8513.52,8513.52,8313.12,98840000
8457.59,8365.21,8549.04,8357.34,76210000
8084.89,8508.41,8513.29,8074.09,77820000
8159.91,8084.89,8179.74,7944.94,99270000
8076.25,8159.91,8180.84,8001.26,74910000
8253.53,8076.25,8320.83,8075.4,94840000
8215.95,8253.53,8254.97,8052.47,80800000
7902.93,8215.95,8216.44,7856.89,129950000
7907.68,7902.93,8069.4,7852.07,88610000
7994.13,7907.68,8011.65,7831.04,88090000
8510.58,7994.13,8589.02,7994.13,177240000
8395.59,8510.58,8510.84,8292.68,76520000
8564.13,8395.59,8575.63,8394.94,59610000
8519.74,8564.13,8633.78,8480.16,73990000
8285.51,8519.74,8520.2,8214.16,89490000
8484.76,8285.51,8569.43,8283.98,103510000
8629.11,8484.76,8680.99,8484.66,75460000
8554.13,8629.11,8644.41,8535.97,64440000
8223.29,8554.13,8554.13,8214.4,97480000
8077.07,8223.29,8240.81,8043.14,122310000
8217.88,8077.07,8333.04,7995.5,112660000
8126.27,8217.88,8229.85,8118.5,66030000
8323.69,8126.27,8332.93,8126.26,60760000
8413.16,8403.32,8515.27,8323.69,76690000
8498.28,8413.16,8550.1,8347.74,82150000
8549.79,8498.28,8628.68,8498.28,91680000
8362.4,8549.79,8549.79,8306.45,82580000
8273.33,8362.4,8362.4,8216.22,38520000
8006.57,8273.33,8273.33,7980.05,82100000
7831.35,8007.21,8007.51,7769.94,98180000
7935.98,7947.17,8017.25,7831.35,79800000
7717.56,7935.98,7939.1,7661.83,79980000
7893.42,7717.56,7906.21,7695.29,74190000
8026.97,7893.42,8172.91,7893.42,84090000
8175.82,8026.97,8198.5,8026.97,86590000
8177.53,8175.82,8235.71,8011.62,93730000
8175.62,8177.53,8211.0,8061.8,82720000
8607.64,8175.62,8611.54,8175.62,102410000
8581.58,8607.64,8672.04,8494.16,96620000
8663.11,8581.58,8663.11,8516.95,77620000
8832.59,8663.11,8904.93,8663.11,104740000
8918.96,8832.59,8923.92,8745.17,72070000
8788.36,8918.96,8919.1,8704.6,73300000
8440.89,8788.36,8860.71,8420.29,132470000
8433.52,8440.89,8577.85,8417.41,96830000
8351.66,8433.52,8438.27,8270.28,66380000
8347.0,8351.66,8401.96,8297.09,88070000
8495.66,8347.0,8559.43,8347.0,87190000
8328.2,8495.66,8498.43,8296.93,67850000
8107.99,8328.2,8328.2,8107.99,95730000
8091.15,8107.99,8225.71,8031.51,96320000
8161.21,8091.15,8174.47,8090.5,75420000
8141.45,8161.21,8270.73,8140.7,94370000
8076.86,8141.45,8146.43,8037.97,164380000
8155.96,8076.86,8155.96,8038.3,206210000
8015.27,8155.96,8156.81,7986.36,106730000
8039.59,8015.27,8039.59,7877.6,96120000
7928.05,8039.59,8039.59,7877.75,72480000
