Started journeys,Avg. covered distance (m),Avg. duration (sec.)
52,2540.5576923076924,853.1538461538462
47,2372.978723404255,738.2127659574468
61,2466.409836065574,853.3770491803278
85,2538.6941176470586,919.0117647058823
70,2583.7428571428572,1037.2142857142858
64,2478.390625,843.421875
81,2560.3333333333335,803.9629629629629
62,2582.3387096774195,858.4193548387096
61,2594.0,868.5245901639345
76,2473.4868421052633,845.6184210526316
59,2908.0,970.7966101694915
58,2460.810344827586,1186.896551724138
77,2810.779220779221,896.1298701298701
68,2660.6176470588234,1219.6764705882354
81,2640.3456790123455,878.0
71,2657.718309859155,1397.0140845070423
55,2886.981818181818,1042.8
79,2460.2025316455697,798.7088607594936
74,2624.0675675675675,885.8108108108108
62,2925.7419354838707,943.5967741935484
63,2763.2698412698414,1268.8253968253969
73,2391.6438356164385,751.1643835616438
48,2445.618125,787.7916666666666
83,2709.8192771084337,928.3855421686746
71,2352.9859154929577,747.3239436619718
72,2592.3611111111113,1184.2777777777778
69,2568.782608695652,1199.7101449275362
48,2746.4306250000004,837.5625
61,2116.098360655738,809.7704918032787
51,2246.1960784313724,1097.686274509804
61,2995.6721311475408,1102.8524590163934
76,2819.0394736842104,1026.0131578947369
53,2384.754716981132,926.7924528301887
63,2728.0793650793653,1631.111111111111
73,2661.72602739726,1290.3424657534247
81,2626.1234567901233,1102.469135802469
59,2790.5593220338983,1479.7627118644068
69,2463.8985507246375,778.2898550724638
68,2916.3970588235293,961.3676470588235
87,2318.6436781609195,941.3448275862069
62,2793.8011290322584,1253.516129032258
68,2693.220588235294,884.9264705882352
65,2521.123076923077,883.9692307692308
72,2620.3055555555557,1161.6527777777778
89,2319.7303370786517,790.9101123595506
64,2197.546875,846.78125
60,2286.8166666666666,812.2833333333333
79,2701.717341772152,863.7721518987341
67,3221.089552238806,1110.9850746268658
64,2321.9375,869.453125
81,2503.246913580247,865.320987654321
60,2157.266666666667,946.35
62,2535.0,799.3064516129032
77,2550.4675324675327,1004.8181818181819
65,2540.1384615384613,872.0307692307692
55,2247.890909090909,796.3454545454546
68,2900.0588235294117,1167.6323529411766
64,2552.234375,917.484375
46,2730.6739130434785,971.4782608695652
71,2728.281690140845,857.9295774647887
50,2560.7,848.54
65,2390.7076923076925,823.7076923076924
50,2560.3666,862.16
57,2228.315789473684,773.8245614035088
75,2439.4,827.7733333333333
54,2105.6481481481483,767.7592592592592
61,2591.3934426229507,838.3770491803278
53,2735.188679245283,860.9811320754717
68,2735.823529411765,1019.5882352941177
61,2478.4262295081967,819.7704918032787
82,2236.4146341463415,985.6219512195122
50,3299.46,990.6
76,2379.8684210526317,878.9473684210526
52,2855.25,898.5192307692307
55,2388.8727272727274,744.6909090909091
70,2443.8285714285716,859.1857142857143
62,2450.467741935484,844.7258064516129
77,2479.5714285714284,821.0649350649351
72,2613.5323611111107,866.5277777777778
66,2549.939393939394,974.0757575757576
56,2755.4464285714284,1021.1964285714286
45,3016.088888888889,952.0666666666667
56,2284.0714285714284,743.5357142857143
43,2029.093023255814,617.0930232558139
62,2764.0967741935483,913.758064516129
56,2239.160714285714,802.0714285714286
58,2747.2758620689656,879.5
48,2427.8125,868.0625
79,2597.7974683544303,845.7341772151899
39,2281.5641025641025,789.0
66,2745.4545454545455,962.0454545454545
55,2013.6181818181817,757.6
54,2635.796296296296,912.5925925925926
57,2782.2982456140353,845.0701754385965
58,1936.9655172413793,624.2586206896551
65,2497.5384615384614,772.8
41,2361.731707317073,788.170731707317
44,2110.0,738.3181818181819
58,2394.2758620689656,854.948275862069
58,2369.7241379310344,846.1551724137931
42,2254.714285714286,753.2619047619048
64,2333.60421875,799.09375
62,2070.6290322580644,802.0483870967741
51,2428.2549019607845,1142.3921568627452
41,2092.390243902439,752.8536585365854
38,2152.6315789473683,779.078947368421
37,1863.4054054054054,600.081081081081
45,2101.0444444444443,730.7555555555556
44,2563.0227272727275,856.1363636363636
50,2889.68,1345.32
36,2071.277777777778,651.2777777777778
43,2675.279069767442,819.3255813953489
32,2427.6875,786.8125
43,2210.953488372093,818.1162790697674
44,2355.568181818182,787.1136363636364
39,2259.5384615384614,1256.1538461538462
33,2685.060606060606,895.3030303030303
41,3008.1463414634145,941.7560975609756
48,2478.9791666666665,802.75
50,2826.34,999.34
49,2398.918367346939,830.2448979591836
46,2162.195652173913,754.695652173913
43,2230.8372093023254,728.6511627906976
39,2191.3846153846152,905.1025641025641
37,2234.189189189189,710.8918918918919
28,2182.8571428571427,843.9642857142857
26,2572.230769230769,775.0
21,2350.0476190476193,770.7619047619048
30,2290.733333333333,698.9333333333333
36,1853.888888888889,627.5555555555555
23,2077.304347826087,671.0
36,2448.4166666666665,796.25
31,2543.0106451612905,882.3548387096774
31,2232.483870967742,704.0967741935484
25,1828.08,1298.48
36,2318.5,776.2777777777778
35,1859.0857142857142,620.0285714285715
25,2024.56,702.4
26,2200.923076923077,850.0
33,2174.2727272727275,759.969696969697
34,2302.215588235294,820.0294117647059
23,2372.1739130434785,732.5652173913044
21,2050.9523809523807,582.1904761904761
22,2126.0,690.5
32,1603.46875,691.625
21,2265.4761904761904,639.0952380952381
29,2285.6093103448275,780.8965517241379
32,2572.3125,739.875
22,2556.2727272727275,841.3636363636364
20,2221.95,714.75
17,1943.2941176470588,591.3529411764706
22,1953.3636363636363,522.3181818181819
19,2835.7368421052633,886.1578947368421
25,2719.32,808.84
20,2185.65,678.25
27,2341.8888888888887,1825.0
17,3372.784117647059,1067.5294117647059
19,2596.7894736842104,725.7894736842105
16,1984.125,648.5
14,2581.5714285714284,714.8571428571429
16,2340.6875,774.4375
25,2949.24,931.32
26,2137.0,640.4230769230769
21,2779.095238095238,1011.9047619047619
14,2590.5714285714284,764.5
19,2314.2105263157896,652.9473684210526
13,3090.6153846153848,901.0769230769231
13,2627.3846153846152,806.9230769230769
21,2225.5238095238096,723.3333333333334
16,3262.4375,1001.125
20,2338.55,705.2
20,2755.05,827.1
19,3166.7368421052633,816.0526315789474
17,2351.0,766.2941176470588
19,3312.6315789473683,962.421052631579
12,2967.9166666666665,814.9166666666666
16,2276.75,694.5625
12,3190.4166666666665,891.3333333333334
8,3026.75,916.625
10,2114.5,672.0
13,3180.743846153846,919.3076923076923
11,2606.6363636363635,768.3636363636364
12,2837.1666666666665,741.4166666666666
16,2168.875,2293.1875
9,2998.8888888888887,839.1111111111111
10,2440.2,755.7
8,2193.75,778.25
6,3559.1666666666665,1144.3333333333333
7,3453.0,908.8571428571429
11,2356.4545454545455,724.1818181818181
9,2146.5555555555557,4255.111111111111
8,2511.875,648.625
5,1465.0,496.2
7,2448.8571428571427,770.4285714285714
7,1985.2857142857142,764.1428571428571
10,2444.8,1141.8
5,4315.2,1113.8
1,4024.0,986.0
11,2345.5454545454545,826.3636363636364
11,2126.818181818182,628.5454545454545
4,4315.0,1161.5
6,3978.8333333333335,1445.8333333333333
2,1794.5,511.0
6,3104.0,861.0
1,2523.0,767.0
6,3130.3333333333335,785.5
9,2276.777777777778,797.3333333333334
6,2193.3333333333335,975.1666666666666
7,3597.4285714285716,929.2857142857143
3,2450.6666666666665,638.0
5,1677.2,446.4
2,2181.5,1007.0
4,2439.25,637.75
1,1067.0,673.0
2,3120.0,931.5
4,1548.25,422.75
1,6181.0,1231.0
1,4474.0,1608.0
3,1805.0,504.0
2,2556.0,682.5
2,1155.0,380.0
4,1725.75,596.5
2,1486.0,560.0
3,2860.0,765.0
1,3838.0,911.0
2,3304.5,812.5
3,1387.0,381.6666666666667
3,1524.6666666666667,503.0
2,1377.0,379.5
4,1145.0,337.75
3,3646.0,999.0
4,1570.75,529.25
7,1497.0,382.2857142857143
5,2819.6,776.0
1,1304.0,402.0
3,2800.6666666666665,833.6666666666666
3,2155.0,501.6666666666667
8,1822.125,542.25
3,1802.6666666666667,511.6666666666667
4,2139.5,728.5
5,2750.8,722.0
7,1771.142857142857,623.0
4,1451.75,433.5
8,2427.75,633.25
4,3738.25,986.5
9,1197.6666666666667,517.7777777777778
9,3098.0,1158.7777777777778
6,3359.0,935.8333333333334
8,2245.0,601.5
17,2866.9411764705883,1580.1764705882354
10,2735.0,1231.4
12,3009.6666666666665,853.5
10,3418.0,1407.8
4,2726.0,880.75
11,3569.181818181818,1019.0
7,2406.1428571428573,600.7142857142857
25,2779.2,683.88
16,2283.25,593.5625
10,2064.1,611.6
15,3003.0666666666666,868.8
16,3405.5625,970.125
32,2582.46875,772.875
21,3043.1428571428573,931.1904761904761
21,3161.8571428571427,956.6190476190476
28,2015.9642857142858,636.6785714285714
17,2394.6470588235293,738.5294117647059
29,2252.1724137931033,714.7241379310345
34,3008.8823529411766,897.7941176470588
19,2690.5263157894738,839.2631578947369
27,2502.222222222222,1119.111111111111
29,2953.310344827586,1093.4827586206898
25,3738.68,1279.24
31,2522.4193548387098,870.8387096774194
29,2705.2413793103447,747.9310344827586
27,2184.925925925926,881.2222222222222
32,2544.875,757.84375
33,2472.969696969697,667.060606060606
47,2630.6382978723404,1047.659574468085
44,2193.7954545454545,757.4090909090909
42,2238.0714285714284,659.8333333333334
44,3033.431818181818,996.3863636363636
39,3191.846153846154,1410.3333333333333
54,3030.3888888888887,954.3518518518518
50,2841.88,877.36
66,2730.409090909091,804.2727272727273
46,2660.217391304348,786.0434782608696
76,2311.2631578947367,760.421052631579
