"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Suhteellisen kosteuden keskiarvo [%]","Keskituulen nopeus [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]"
"Helsinki Kumpula","2023","11","25","18:00","-11","86","3.4","0","999.8","-10.8","-11.2","3.9","6","6.1"
"Helsinki Kumpula","2023","11","25","19:00","-11.2","86","3.4","0","1000.2","-11.1","-11.4","3.9","14","5.7"
"Helsinki Kumpula","2023","11","25","20:00","-11.6","87","2.9","0","1000.5","-11.4","-11.8","3.6","12","5.2"
"Helsinki Kumpula","2023","11","25","21:00","-11.8","87","2.9","0","1000.8","-11.5","-11.9","3.6","8","5.4"
"Helsinki Kumpula","2023","11","25","22:00","-12","87","3.5","0","1001.2","-11.8","-12.1","4.1","4","5.8"
"Helsinki Kumpula","2023","11","25","23:00","-12.1","87","3.6","0","1001.4","-11.9","-12.2","3.9","10","5.7"
"Helsinki Kumpula","2023","11","26","00:00","-12","87","3","0","1001.3","-11.9","-12.3","3.5","15","5.4"
"Helsinki Kumpula","2023","11","26","01:00","-12.3","87","3.8","0","1001.7","-12.1","-12.4","4.5","1","7.3"
"Helsinki Kumpula","2023","11","26","02:00","-12.3","86","3.8","0","1002","-12","-12.4","4.3","10","6.7"
"Helsinki Kumpula","2023","11","26","03:00","-12.3","87","3.3","0","1002.4","-12","-12.4","4.2","13","6.3"
"Helsinki Kumpula","2023","11","26","04:00","-11.9","87","3.5","0","1002.9","-11.7","-12.1","4","10","5.9"
"Helsinki Kumpula","2023","11","26","05:00","-11.5","86","3.3","0","1003.1","-11.3","-11.7","4.4","17","5.9"
"Helsinki Kumpula","2023","11","26","06:00","-10.9","87","2.8","0","1003.5","-10.5","-11.3","3.5","25","5.5"
"Helsinki Kumpula","2023","11","26","07:00","-10","87","2.9","0","1004","-9.5","-10.5","3.3","24","5.7"
"Helsinki Kumpula","2023","11","26","08:00","-9.3","87","3","0","1004.5","-9","-9.5","3.7","27","5.7"
"Helsinki Kumpula","2023","11","26","09:00","-8.9","88","3.6","0.3","1004.9","-8.6","-9","4.3","23","6.4"
"Helsinki Kumpula","2023","11","26","10:00","-8.4","88","3.4","0.2","1005.3","-8.2","-8.6","4","25","5.7"
"Helsinki Kumpula","2023","11","26","11:00","-8","89","3.1","0.2","1005.6","-7.7","-8.2","3.6","26","6.2"
"Helsinki Kumpula","2023","11","26","12:00","-7.8","89","2.8","0.1","1006","-7.7","-8","3.5","26","5.2"
"Helsinki Kumpula","2023","11","26","13:00","-8","88","2.8","0","1006.3","-7.9","-8","3.9","39","5.9"
"Helsinki Kumpula","2023","11","26","14:00","-8","88","2.4","0","1006.8","-7.9","-8.4","3.1","32","5.3"
"Helsinki Kumpula","2023","11","26","15:00","-8.6","88","3.2","0","1007.2","-8.4","-8.8","3.9","34","5.5"
"Helsinki Kumpula","2023","11","26","16:00","-8.6","88","3","0","1007.7","-8.5","-8.7","3.4","40","5.6"
"Helsinki Kumpula","2023","11","26","17:00","-8.7","88","3.7","0","1008.2","-8.5","-9.1","4.5","43","7"
"Helsinki Kumpula","2023","11","26","18:00","-9.3","89","3.2","0","1008.7","-9.1","-9.4","3.5","36","6.1"
"Helsinki Kumpula","2023","11","26","19:00","-9","89","3.7","0","1009.2","-8.9","-9.2","4.1","35","6.9"
"Helsinki Kumpula","2023","11","26","20:00","-9.1","89","4.1","0","1009.2","-9","-9.3","4.8","30","6.6"
"Helsinki Kumpula","2023","11","26","21:00","-9.6","88","4","0","1009.4","-9.4","-9.8","4.9","28","6.8"
"Helsinki Kumpula","2023","11","26","22:00","-9.7","87","3.4","0","1009.8","-9.6","-9.8","3.8","31","6.2"
"Helsinki Kumpula","2023","11","26","23:00","-9.8","85","3.4","0","1010","-9.6","-10.1","4.1","30","7.5"
"Helsinki Kumpula","2023","11","27","00:00","-10.3","83","2.8","0","1010.4","-10.1","-10.5","3.5","36","5.8"
"Helsinki Kumpula","2023","11","27","01:00","-10.3","82","3.2","0","1010.6","-10.2","-10.4","3.8","29","6.4"
"Helsinki Kumpula","2023","11","27","02:00","-10.7","83","4.1","0","1010.6","-10.4","-11.1","4.7","30","7.3"
"Helsinki Kumpula","2023","11","27","03:00","-11.4","82","3.6","0","1010.8","-11","-11.6","4.3","26","6.2"
"Helsinki Kumpula","2023","11","27","04:00","-11.7","82","4.4","0","1010.9","-11.5","-11.8","5.6","21","8.5"
"Helsinki Kumpula","2023","11","27","05:00","-11.9","82","3.8","0","1011.1","-11.7","-12.1","4.5","25","8"
"Helsinki Kumpula","2023","11","27","06:00","-12.4","81","3.9","0","1011.1","-12","-12.8","4.5","25","8"
"Helsinki Kumpula","2023","11","27","07:00","-13.1","82","4.1","0","1011.4","-12.8","-13.3","5","22","7.6"
"Helsinki Kumpula","2023","11","27","08:00","-13.2","82","4","0","1011.6","-13","-13.3","4.8","21","8.6"
"Helsinki Kumpula","2023","11","27","09:00","-12.8","80","4.1","0","1011.7","-12.6","-13","4.7","12","7.6"
"Helsinki Kumpula","2023","11","27","10:00","-12.2","78","4.5","0","1010.9","-11.9","-12.6","5","6","8.3"
"Helsinki Kumpula","2023","11","27","11:00","-11.6","79","4.2","0","1010.8","-11.3","-11.9","5.1","11","8.1"
"Helsinki Kumpula","2023","11","27","12:00","-11.4","80","4","0","1010.4","-11.3","-11.5","4.7","2","7.7"
"Helsinki Kumpula","2023","11","27","13:00","-11.3","81","4.3","0","1009.7","-10.9","-11.5","5.2","1","8.1"
"Helsinki Kumpula","2023","11","27","14:00","-10.8","82","5","0","1009.5","-10.7","-10.9","5.6","11","9.3"
"Helsinki Kumpula","2023","11","27","15:00","-10.8","83","5.9","0","1009","-10.7","-10.9","6.5","9","10"
"Helsinki Kumpula","2023","11","27","16:00","-10.9","85","5.4","0","1008.3","-10.8","-11","6.4","5","10"
"Helsinki Kumpula","2023","11","27","17:00","-11.1","82","6.6","0","1007.5","-11","-11.2","7.2","7","12.2"
"Helsinki Kumpula","2023","11","27","18:00","-10.8","80","6.8","0","1006.4","-10.5","-11","8","6","13.1"
"Helsinki Kumpula","2023","11","27","19:00","-10.3","78","7.1","0","1005","-10","-10.5","8.1","11","14.1"
"Helsinki Kumpula","2023","11","27","20:00","-9.9","77","7.5","0","1003.6","-9.6","-10","8.3","7","15.1"
"Helsinki Kumpula","2023","11","27","21:00","-9.6","78","8.1","0.1","1001.8","-9.5","-9.6","9.5","2","17.1"
"Helsinki Kumpula","2023","11","27","22:00","-9.7","83","7.7","0.9","1000.8","-9.6","-9.9","8.6","3","14.4"
"Helsinki Kumpula","2023","11","27","23:00","-9.8","86","7.4","1.1","1000","-9.6","-9.9","8.2","5","13.7"
"Helsinki Kumpula","2023","11","28","00:00","-9.4","87","7.3","1.1","998.9","-9.2","-9.7","8.2","9","14.2"
"Helsinki Kumpula","2023","11","28","01:00","-8.8","84","7.2","0.3","997.8","-8.6","-9.1","8.1","13","13.7"
"Helsinki Kumpula","2023","11","28","02:00","-8.3","82","7","0.1","996.8","-8","-8.6","7.9","12","15"
"Helsinki Kumpula","2023","11","28","03:00","-7.6","82","6.7","0.1","996.1","-7.3","-8","7.3","11","13.1"
"Helsinki Kumpula","2023","11","28","04:00","-7","81","7","0","995.4","-6.7","-7.3","7.8","16","12.4"
"Helsinki Kumpula","2023","11","28","05:00","-6.4","81","6.1","0","994.7","-6.2","-6.7","7","20","11.5"
"Helsinki Kumpula","2023","11","28","06:00","-6.1","84","5.2","0.1","994.1","-5.9","-6.2","6","20","10.1"
"Helsinki Kumpula","2023","11","28","07:00","-5.7","85","5.1","0.3","994.1","-5.3","-5.9","5.8","22","9.4"
"Helsinki Kumpula","2023","11","28","08:00","-5","84","4.9","0.1","994.2","-4.6","-5.4","5.9","31","9.6"
"Helsinki Kumpula","2023","11","28","09:00","-4.4","83","5.5","0","994","-4.1","-4.7","6.1","23","10"
"Helsinki Kumpula","2023","11","28","10:00","-3.5","84","6.2","0","993.8","-2.9","-4.1","7.4","37","13"
"Helsinki Kumpula","2023","11","28","11:00","-2.6","84","6.2","0","994.1","-2.4","-2.8","7.5","47","12.7"
"Helsinki Kumpula","2023","11","28","12:00","-2.2","88","5.7","0.4","994.7","-2.1","-2.4","6.5","56","11.6"
"Helsinki Kumpula","2023","11","28","13:00","-1.9","90","6.5","0.3","995.3","-1.6","-2.2","7.9","56","13.1"
"Helsinki Kumpula","2023","11","28","14:00","-1.5","89","6.8","0","995.9","-1.4","-1.7","7.7","57","12.9"
"Helsinki Kumpula","2023","11","28","15:00","-1.4","88","6.2","0","996.6","-1.4","-1.5","7.1","57","11.9"
"Helsinki Kumpula","2023","11","28","16:00","-1.6","90","6.4","0.1","997.2","-1.4","-1.7","7","51","11.6"
"Helsinki Kumpula","2023","11","28","17:00","-1.5","91","6","0.2","997.7","-1.4","-1.6","6.7","53","12"
"Helsinki Kumpula","2023","11","28","18:00","-1.5","94","5.3","0.9","998.3","-1.4","-1.6","6","56","11.1"
"Helsinki Kumpula","2023","11","28","19:00","-1.3","94","5.4","0.3","999","-1.2","-1.4","5.9","64","8.8"
"Helsinki Kumpula","2023","11","28","20:00","-1.2","96","3.7","0.4","999.9","-1.1","-1.3","4.9","82","7.8"
"Helsinki Kumpula","2023","11","28","21:00","-1.1","97","2.6","0.3","1000.7","-1.1","-1.2","2.9","73","4"
"Helsinki Kumpula","2023","11","28","22:00","-1.1","96","2.9","0","1001.4","-1.1","-1.2","3.3","83","5.2"
"Helsinki Kumpula","2023","11","28","23:00","-1.4","89","4","0","1002.1","-1.2","-1.7","4.9","134","6.8"
"Helsinki Kumpula","2023","11","29","00:00","-2","87","3.5","0.1","1002.8","-1.7","-2.3","4.6","128","6.6"
"Helsinki Kumpula","2023","11","29","01:00","-2.3","91","2.5","0.1","1003.3","-2.2","-2.4","2.8","108","4"
"Helsinki Kumpula","2023","11","29","02:00","-2.1","86","2.8","0","1003.7","-1.9","-2.2","3.4","107","4.9"
"Helsinki Kumpula","2023","11","29","03:00","-1.9","84","3","0","1004.3","-1.9","-2.1","3.6","98","4.8"
"Helsinki Kumpula","2023","11","29","04:00","-2","85","2.4","0","1004.9","-1.9","-2.1","2.9","74","3.4"
"Helsinki Kumpula","2023","11","29","05:00","-1.9","85","2.5","0","1005.2","-1.8","-2","3","82","4.1"
"Helsinki Kumpula","2023","11","29","06:00","-1.8","86","2.3","0","1005.9","-1.7","-1.9","2.9","85","4.4"
"Helsinki Kumpula","2023","11","29","07:00","-1.7","84","2.2","0","1006.6","-1.5","-1.8","2.5","100","3.4"
"Helsinki Kumpula","2023","11","29","08:00","-1.6","86","2.2","0","1007.2","-1.5","-1.7","2.5","68","3.2"
"Helsinki Kumpula","2023","11","29","09:00","-1.6","86","1.9","0","1007.5","-1.5","-1.7","2.3","57","2.7"
"Helsinki Kumpula","2023","11","29","10:00","-1.5","86","1.4","0","1007.8","-1.4","-1.6","1.9","56","2.4"
"Helsinki Kumpula","2023","11","29","11:00","-1.4","87","1.6","0","1008.1","-1.2","-1.5","1.9","72","2.7"
"Helsinki Kumpula","2023","11","29","12:00","-1.2","86","2","0","1008.4","-1.2","-1.3","2.3","72","3.3"
"Helsinki Kumpula","2023","11","29","13:00","-1.1","84","1.9","0","1008.6","-1.1","-1.2","2.2","79","3.1"
"Helsinki Kumpula","2023","11","29","14:00","-1.4","87","2.6","0.1","1008.9","-1.1","-1.7","3.7","60","5.2"
"Helsinki Kumpula","2023","11","29","15:00","-1.8","92","2.8","0.2","1009.1","-1.7","-1.8","3.5","58","5.5"
"Helsinki Kumpula","2023","11","29","16:00","-1.7","90","3.4","0","1009.3","-1.6","-1.8","4","63","5.6"
"Helsinki Kumpula","2023","11","29","17:00","-1.7","88","3.7","0","1009.5","-1.7","-1.8","4.3","60","6.7"
"Helsinki Kumpula","2023","11","29","18:00","-1.9","89","3.8","0","1009.6","-1.8","-2","4.2","61","6.7"
"Helsinki Kumpula","2023","11","29","19:00","-2.1","86","4.3","0","1009.7","-2","-2.1","4.8","63","7.5"
"Helsinki Kumpula","2023","11","29","20:00","-2.2","83","4.3","0","1009.8","-2","-2.5","4.9","52","7.3"
"Helsinki Kumpula","2023","11","29","21:00","-2.5","84","4.9","0","1009.7","-2.5","-2.7","5.8","47","9.2"
"Helsinki Kumpula","2023","11","29","22:00","-2.9","85","5","0","1009.7","-2.8","-3.1","5.8","47","9"
"Helsinki Kumpula","2023","11","29","23:00","-3.2","86","5.7","0","1009.4","-3.1","-3.5","6.1","48","9.5"
"Helsinki Kumpula","2023","11","30","00:00","-3.7","86","5.5","0","1009.3","-3.5","-3.9","6.2","49","10.9"
"Helsinki Kumpula","2023","11","30","01:00","-4.3","85","6.2","0","1009.1","-3.9","-4.6","7.7","43","11.4"
"Helsinki Kumpula","2023","11","30","02:00","-5","85","6.1","0","1008.6","-4.6","-5.3","6.8","42","11.1"
"Helsinki Kumpula","2023","11","30","03:00","-5.1","83","5.5","0","1008","-4.9","-5.3","6.4","34","11"
"Helsinki Kumpula","2023","11","30","04:00","-4.9","84","5.5","0","1007.1","-4.7","-5","6.1","36","9.9"
"Helsinki Kumpula","2023","11","30","05:00","-4.5","85","5.8","0.1","1006.5","-4.3","-4.7","6.1","42","10.4"
"Helsinki Kumpula","2023","11","30","06:00","-4.1","88","6.3","0.3","1006.1","-3.8","-4.3","6.7","45","10.9"
"Helsinki Kumpula","2023","11","30","07:00","-3.6","86","6.4","0","1005.9","-3.4","-3.8","8","44","12.3"
"Helsinki Kumpula","2023","11","30","08:00","-3.3","85","6.4","0","1005.8","-3.2","-3.4","7.2","46","11.7"
"Helsinki Kumpula","2023","11","30","09:00","-3.3","86","6.8","0.1","1005.6","-3.2","-3.3","7.8","46","12.1"
"Helsinki Kumpula","2023","11","30","10:00","-3.2","86","6.2","0","1005.3","-3.1","-3.2","7.3","40","11.4"
"Helsinki Kumpula","2023","11","30","11:00","-3.3","86","6.2","0.1","1004.7","-3.2","-3.5","6.9","35","11.4"
"Helsinki Kumpula","2023","11","30","12:00","-3.5","87","6.1","0.1","1004.4","-3.4","-3.6","7","32","12.3"
"Helsinki Kumpula","2023","11","30","13:00","-3.7","86","6.2","0","1004.2","-3.6","-3.8","7.3","30","11.3"
"Helsinki Kumpula","2023","11","30","14:00","-3.8","85","5.8","0","1004.1","-3.7","-3.8","6.4","32","10.7"
"Helsinki Kumpula","2023","11","30","15:00","-3.9","86","6.4","0","1004.1","-3.8","-4","7.1","40","10.8"
"Helsinki Kumpula","2023","11","30","16:00","-3.9","87","6","0","1004","-3.8","-4","6.8","40","10.1"
"Helsinki Kumpula","2023","11","30","17:00","-3.7","86","5.6","0","1003.8","-3.6","-3.8","6.3","36","10.2"
"Helsinki Kumpula","2023","11","30","18:00","-3.5","86","5.9","0","1003.3","-3.5","-3.6","7","31","11.1"
"Helsinki Kumpula","2023","11","30","19:00","-3.4","86","6.1","0.1","1003.1","-3.3","-3.6","6.8","34","11.5"
"Helsinki Kumpula","2023","11","30","20:00","-3.5","88","4.8","0.4","1003","-3.4","-3.6","5.5","35","8.9"
"Helsinki Kumpula","2023","11","30","21:00","-3.7","90","5","0.5","1003","-3.6","-3.7","5.5","34","9.1"
"Helsinki Kumpula","2023","11","30","22:00","-3.8","89","5.3","0.2","1002.9","-3.7","-3.9","5.8","33","9.9"
"Helsinki Kumpula","2023","11","30","23:00","-3.9","91","5","0.1","1002.9","-3.7","-4.1","5.6","28","9.7"
"Helsinki Kumpula","2023","12","1","00:00","-4.2","88","5.1","0.1","1002.8","-4.1","-4.4","6","27","9.7"
"Helsinki Kumpula","2023","12","1","01:00","-4.6","89","5","0.3","1002.6","-4.4","-4.8","5.4","31","8.7"
"Helsinki Kumpula","2023","12","1","02:00","-4.8","87","4.3","0.1","1002.5","-4.8","-4.9","4.8","29","8.6"
"Helsinki Kumpula","2023","12","1","03:00","-5","87","4.4","0","1002.3","-4.8","-5.1","5","29","9.2"
"Helsinki Kumpula","2023","12","1","04:00","-4.8","88","4.8","0","1002","-4.8","-4.9","5.4","32","8.5"
"Helsinki Kumpula","2023","12","1","05:00","-4.9","88","4.2","0.1","1001.8","-4.8","-5","4.9","24","8.2"
"Helsinki Kumpula","2023","12","1","06:00","-5.1","86","4.3","0.1","1001.5","-5","-5.3","5.1","25","8.1"
"Helsinki Kumpula","2023","12","1","07:00","-5.4","87","4.7","0.2","1001.6","-5.3","-5.5","5.2","23","8.1"
"Helsinki Kumpula","2023","12","1","08:00","-5.5","88","4.2","0.3","1001.6","-5.4","-5.6","4.8","17","7.9"
"Helsinki Kumpula","2023","12","1","09:00","-5.6","87","4.3","0.2","1001.7","-5.5","-5.7","4.9","17","7.9"
"Helsinki Kumpula","2023","12","1","10:00","-5.6","85","4.5","0","1001.6","-5.4","-5.7","5.3","20","8.5"
"Helsinki Kumpula","2023","12","1","11:00","-5.4","84","4.2","0","1001.4","-5.3","-5.5","5","17","8"
"Helsinki Kumpula","2023","12","1","12:00","-5.4","83","4.2","0","1001.3","-5.3","-5.5","4.7","16","8.1"
"Helsinki Kumpula","2023","12","1","13:00","-5.6","83","4.8","0","1001.2","-5.4","-5.8","5.8","22","9.3"
"Helsinki Kumpula","2023","12","1","14:00","-5.8","84","4.6","0","1001.3","-5.7","-5.9","5.8","22","9.1"
"Helsinki Kumpula","2023","12","1","15:00","-6","84","5.1","0","1001.5","-5.9","-6","5.9","19","8.8"
"Helsinki Kumpula","2023","12","1","16:00","-6","84","4.3","0","1001.7","-5.9","-6","5","19","7.9"
"Helsinki Kumpula","2023","12","1","17:00","-6","85","3.4","0","1002.1","-5.9","-6","3.9","14","6.2"
"Helsinki Kumpula","2023","12","1","18:00","-6","86","3.9","0","1002.1","-6","-6.1","4.2","6","7"
"Helsinki Kumpula","2023","12","1","19:00","-6","86","3.7","0","1002.5","-5.9","-6","4.1","3","7.3"
"Helsinki Kumpula","2023","12","1","20:00","-6","84","4.2","0","1002.8","-5.9","-6.1","4.8","6","8.7"
"Helsinki Kumpula","2023","12","1","21:00","-6.3","85","4.3","0","1003.1","-6.1","-6.4","4.8","3","8.2"
"Helsinki Kumpula","2023","12","1","22:00","-6.5","84","4.2","0","1003.5","-6.4","-6.6","4.7","5","7.4"
"Helsinki Kumpula","2023","12","1","23:00","-6.7","85","3.5","0","1003.8","-6.6","-6.7","4.1","6","6.1"
"Helsinki Kumpula","2023","12","2","00:00","-6.7","87","3.7","0.1","1004.2","-6.6","-6.9","4.3","3","7.1"
"Helsinki Kumpula","2023","12","2","01:00","-7.2","86","3.3","0","1004.7","-6.9","-7.8","4.2","1","6.9"
"Helsinki Kumpula","2023","12","2","02:00","-8.4","89","2.9","0","1005.1","-7.8","-8.8","3.2","341","5"
"Helsinki Kumpula","2023","12","2","03:00","-7.2","88","3.1","0","1005.2","-6.8","-7.8","3.5","354","5.9"
"Helsinki Kumpula","2023","12","2","04:00","-6.7","86","2.9","0","1005.4","-6.6","-6.7","3.5","5","6.7"
"Helsinki Kumpula","2023","12","2","05:00","-6.6","86","2.4","0","1005.9","-6.6","-6.7","2.9","359","5.1"
"Helsinki Kumpula","2023","12","2","06:00","-6.7","85","3.3","0","1006.3","-6.6","-6.8","4.6","6","6.4"
"Helsinki Kumpula","2023","12","2","07:00","-6.9","86","3.2","0","1006.8","-6.8","-7","4","13","5.9"
"Helsinki Kumpula","2023","12","2","08:00","-7.1","87","3.5","0","1007.4","-7","-7.3","4.1","17","5.9"
"Helsinki Kumpula","2023","12","2","09:00","-7.2","88","3.3","0","1007.9","-7","-7.3","3.7","8","5.7"
"Helsinki Kumpula","2023","12","2","10:00","-7","88","3.3","0","1008.5","-6.9","-7.1","4.1","12","6.3"
"Helsinki Kumpula","2023","12","2","11:00","-7","89","2.8","0","1009","-7","-7.2","3.6","4","5.2"
"Helsinki Kumpula","2023","12","2","12:00","-7.4","89","2.5","0","1009.3","-7.3","-7.5","2.9","354","5"
"Helsinki Kumpula","2023","12","2","13:00","-7.6","90","3.5","0","1009.7","-7.4","-7.7","4.2","1","6"
"Helsinki Kumpula","2023","12","2","14:00","-7.7","91","2.9","0","1010.1","-7.7","-7.8","3.3","356","5.5"
"Helsinki Kumpula","2023","12","2","15:00","-8","91","2.2","0","1010.7","-7.7","-8.5","2.8","360","4.6"
"Helsinki Kumpula","2023","12","2","16:00","-9.3","92","1.9","0","1011.2","-8.5","-9.6","2.2","343","3.7"
"Helsinki Kumpula","2023","12","2","17:00","-9.7","91","2.3","0","1011.6","-9.5","-9.9","2.8","357","3.9"
"Helsinki Kumpula","2023","12","2","18:00","-10.3","89","2.7","0","1012.1","-9.9","-11.1","3.2","13","4.7"
"Helsinki Kumpula","2023","12","2","19:00","-10.8","89","2.8","0","1012.4","-10.5","-11.1","3.3","16","4.9"
"Helsinki Kumpula","2023","12","2","20:00","-11.2","89","2.9","0","1012.7","-10.9","-11.6","3.1","7","4.5"
"Helsinki Kumpula","2023","12","2","21:00","-11.9","89","2.3","0","1013.2","-11.6","-12.2","3","3","4"
"Helsinki Kumpula","2023","12","2","22:00","-12.6","89","2.4","0","1013.5","-12.2","-12.9","2.8","353","4.3"
"Helsinki Kumpula","2023","12","2","23:00","-12.7","88","2.8","0","1013.8","-12.5","-13.2","3.1","358","4.6"
"Helsinki Kumpula","2023","12","3","00:00","-13.1","89","2.9","0","1013.7","-12.8","-13.5","3.6","359","5.2"
"Helsinki Kumpula","2023","12","3","01:00","-12.9","89","3.4","0","1013.6","-12.6","-13.1","3.8","13","5.4"
"Helsinki Kumpula","2023","12","3","02:00","-12.7","89","3.1","0","1013.6","-12.3","-13.1","3.7","16","4.8"
"Helsinki Kumpula","2023","12","3","03:00","-11.8","89","3.1","0","1013.7","-10.8","-12.7","3.9","15","5.2"
"Helsinki Kumpula","2023","12","3","04:00","-10.1","88","2.2","0","1013.9","-9.8","-10.7","3.4","22","5"
"Helsinki Kumpula","2023","12","3","05:00","-9.5","88","2.4","0","1013.9","-9.3","-9.9","3.2","18","4.5"
"Helsinki Kumpula","2023","12","3","06:00","-9.1","88","2.5","0","1013.9","-8.9","-9.3","2.8","15","4.4"
"Helsinki Kumpula","2023","12","3","07:00","-8.8","88","2.3","0","1013.9","-8.6","-9","2.8","18","4.7"
"Helsinki Kumpula","2023","12","3","08:00","-8.7","88","2.3","0","1013.8","-8.5","-9","3.1","15","4.9"
"Helsinki Kumpula","2023","12","3","09:00","-8.7","87","2.9","0","1014","-8.5","-9","3.6","14","5.4"
"Helsinki Kumpula","2023","12","3","10:00","-8.2","86","2","0","1014.2","-7.8","-8.5","2.6","24","4"
"Helsinki Kumpula","2023","12","3","11:00","-7.5","86","1.9","0","1014.1","-7.4","-7.8","2.6","2","4.4"
"Helsinki Kumpula","2023","12","3","12:00","-7.6","86","2.2","0.1","1013.9","-7.4","-7.7","2.9","356","4.2"
"Helsinki Kumpula","2023","12","3","13:00","-8","87","2.4","0.1","1013.8","-7.7","-8.4","2.7","353","4.4"
"Helsinki Kumpula","2023","12","3","14:00","-9","87","2.8","0","1013.6","-8.4","-9.4","3.2","350","4.7"
"Helsinki Kumpula","2023","12","3","15:00","-9.7","88","2.6","0","1013.7","-9.4","-10","3","358","4.7"
"Helsinki Kumpula","2023","12","3","16:00","-9.8","87","3","0","1013.6","-9.8","-10","3.7","359","5.6"
"Helsinki Kumpula","2023","12","3","17:00","-9.8","86","2.9","0","1013.6","-9.7","-9.9","3.5","2","5.8"
"Helsinki Kumpula","2023","12","3","18:00","-9.7","86","2.7","0.1","1013.6","-9.6","-9.7","3.6","11","5.6"
"Helsinki Kumpula","2023","12","3","19:00","-9.7","86","2.6","0.1","1013.5","-9.6","-9.8","2.9","8","4.5"
"Helsinki Kumpula","2023","12","3","20:00","-10.1","87","3","0.1","1013.4","-9.8","-10.4","3.2","3","4.6"
"Helsinki Kumpula","2023","12","3","21:00","-10.5","87","3","0","1013.3","-10.4","-10.6","3.3","3","5.4"
"Helsinki Kumpula","2023","12","3","22:00","-10.8","87","2.5","0","1013.2","-10.6","-11","3.1","3","4.7"
"Helsinki Kumpula","2023","12","3","23:00","-11.2","87","2.6","0","1013","-10.9","-11.6","3","355","5"
"Helsinki Kumpula","2023","12","4","00:00","-11.7","87","3","0","1012.9","-11.5","-11.8","3.4","355","5.4"
"Helsinki Kumpula","2023","12","4","01:00","-11.9","86","3","0","1012.8","-11.7","-12.2","3.3","358","5.1"
"Helsinki Kumpula","2023","12","4","02:00","-12.5","86","2.9","0","1012.7","-12.2","-12.9","3.4","354","5.1"
"Helsinki Kumpula","2023","12","4","03:00","-13.4","87","3","0","1012.6","-13","-13.6","3.5","338","5"
"Helsinki Kumpula","2023","12","4","04:00","-13.5","86","2.9","0","1012.6","-13.3","-13.7","3.3","340","5.5"
"Helsinki Kumpula","2023","12","4","05:00","-13.3","86","2.8","0","1012.7","-13","-13.7","3.1","336","5.1"
"Helsinki Kumpula","2023","12","4","06:00","-13.4","85","2.8","0","1012.8","-13.1","-13.6","3.1","337","5.4"
"Helsinki Kumpula","2023","12","4","07:00","-12.6","85","2.6","0","1012.9","-12.1","-13.1","3.1","349","5.2"
"Helsinki Kumpula","2023","12","4","08:00","-11.8","85","1.6","0","1013","-11.6","-12.1","2.5","349","3.9"
"Helsinki Kumpula","2023","12","4","09:00","-11.2","86","1.1","0","1013.4","-10.6","-11.8","1.4","347","2.8"
"Helsinki Kumpula","2023","12","4","10:00","-10.2","84","1.9","0","1013.5","-9.9","-10.6","3.3","354","4.4"
"Helsinki Kumpula","2023","12","4","11:00","-9.6","83","2.5","0","1013.5","-9.4","-9.9","3","3","4.1"
"Helsinki Kumpula","2023","12","4","12:00","-9.2","83","1.9","0","1013.7","-9","-9.4","2.5","16","3.5"
"Helsinki Kumpula","2023","12","4","13:00","-9.1","84","1.9","0","1013.9","-9.1","-9.2","2.2","16","4"
"Helsinki Kumpula","2023","12","4","14:00","-9.1","87","1.5","0","1014","-9","-9.2","1.9","21","3.2"
"Helsinki Kumpula","2023","12","4","15:00","-9.2","91","2.2","0","1014.2","-9.1","-9.3","2.4","29","3.9"
"Helsinki Kumpula","2023","12","4","16:00","-9.2","91","2","0","1014.4","-9.1","-9.3","2.4","26","3.4"
"Helsinki Kumpula","2023","12","4","17:00","-9.2","92","1.9","0","1014.6","-9.1","-9.3","2.4","44","4"
"Helsinki Kumpula","2023","12","4","18:00","-9.1","91","1.5","0","1014.8","-9","-9.2","2.2","59","3.2"
"Helsinki Kumpula","2023","12","4","19:00","-8.8","88","2","0","1014.9","-8.7","-9","2.5","350","3.7"
"Helsinki Kumpula","2023","12","4","20:00","-8.8","87","1.8","0","1015.3","-8.7","-8.9","2.3","338","3.9"
"Helsinki Kumpula","2023","12","4","21:00","-8.9","88","1.8","0","1015.6","-8.8","-9.1","2.4","338","4.1"
"Helsinki Kumpula","2023","12","4","22:00","-8.8","89","1.7","0","1015.8","-8.6","-9","2.3","355","3.2"
"Helsinki Kumpula","2023","12","4","23:00","-8.7","88","1.4","0","1016.1","-8.6","-8.9","2.1","353","3.3"
"Helsinki Kumpula","2023","12","5","00:00","-8.8","89","1.2","0","1016.4","-8.6","-9","1.8","349","2.8"
"Helsinki Kumpula","2023","12","5","01:00","-8.5","88","1.1","0","1016.8","-8.4","-8.6","1.9","348","2.6"
"Helsinki Kumpula","2023","12","5","02:00","-8.5","88","1.5","0","1017.1","-8.4","-8.5","2","329","3.3"
"Helsinki Kumpula","2023","12","5","03:00","-8.3","87","1.9","0","1017.4","-8.3","-8.4","2.4","340","3.6"
